VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
3FMTK3RMXN,King,Seattle,WA,98112,2022,FORD,MUSTANG MACH-E,1,3,0,43,227382193,POINT (-122.30764 47.62523),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006200
WA1ACBGE0N,King,Federal Way,WA,98003,2022,AUDI,E-TRON,1,3,0,30,212090112,POINT (-122.31327 47.32309),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033030006
WP0CK2A78N,Kitsap,Poulsbo,WA,98370,2022,PORSCHE,PANAMERA,2,2,18,23,193230292,POINT (-122.64177 47.737525),PUGET SOUND ENERGY INC,53035940100
5LMTJ5DZ7P,Thurston,Olympia,WA,98502,2023,LINCOLN,CORSAIR,2,2,28,22,257704870,POINT (-122.92145 47.045935),PUGET SOUND ENERGY INC,53067011100
WDC0G5DBXL,King,Seattle,WA,98103,2020,MERCEDES-BENZ,GLC-CLASS,2,2,22,43,125771390,POINT (-122.34301 47.659185),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033004800
KMHC85LJ7L,King,Bellevue,WA,98005,2020,HYUNDAI,IONIQ,1,1,170,41,140131400,POINT (-122.16085 47.624515),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023500
YV4BK0DP2L,King,Woodinville,WA,98072,2020,VOLVO,XC60,2,2,19,45,102936368,POINT (-122.151665 47.75855),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033021906
55SWF4HB1H,Clark,Washougal,WA,98671,2017,MERCEDES-BENZ,C-CLASS,2,2,8,18,142802040,POINT (-122.35465 45.58359),BONNEVILLE POWER ADMINISTRATION||PACIFICORP||PUD NO 1 OF CLARK COUNTY - (WA),53011040510
JTDACACU7R,Thurston,Olympia,WA,98502,2024,TOYOTA,PRIUS PRIME,2,1,39,22,259795000,POINT (-122.92145 47.045935),PUGET SOUND ENERGY INC,53067010520
YV4H60DL1P,King,Seattle,WA,98115,2023,VOLVO,XC60,2,1,35,46,229767744,POINT (-122.3185 47.67949),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033002100
WA1H2BFZ3N,King,Seattle,WA,98112,2022,AUDI,Q4,1,3,0,43,220569142,POINT (-122.30764 47.62523),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006500
7JRH60FL7N,King,Bellevue,WA,98007,2022,VOLVO,S60,2,1,41,48,216531367,POINT (-122.147385 47.599975),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023603
WP0BC2Y1XM,King,Seattle,WA,98199,2021,PORSCHE,TAYCAN,1,3,0,36,179163218,POINT (-122.394185 47.639195),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033005803
WAUAHBFW2N,King,Bellevue,WA,98007,2022,AUDI,RS E-TRON GT,1,3,0,48,172945111,POINT (-122.147385 47.599975),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023401
2T3YL4DV6E,King,Bellevue,WA,98006,2014,TOYOTA,RAV4,1,1,103,41,338419448,POINT (-122.16937 47.571015),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025008
YV4BR00KXN,King,Seattle,WA,98119,2022,VOLVO,XC90,2,2,18,36,177945386,POINT (-122.363815 47.63046),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033005901
7JRH60FL3R,King,Shoreline,WA,98177,2024,VOLVO,S60,2,1,41,32,254692168,POINT (-122.382425 47.77279),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033020200
SADHD2S10P,King,Seattle,WA,98119,2023,JAGUAR,I-PACE,1,3,0,36,252331117,POINT (-122.363815 47.63046),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033005902
KNDC34LA8N,King,Covington,WA,98042,2022,KIA,EV6,1,3,0,47,259481813,POINT (-122.111625 47.36078),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032007
WA1G2AFY5N,King,Mercer Island,WA,98040,2022,AUDI,Q5,2,2,23,41,207119846,POINT (-122.2377542 47.582905),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024302
7JRH60FLXP,King,Sammamish,WA,98075,2023,VOLVO,S60,2,1,41,41,236300970,POINT (-122.03309 47.58153),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032218
KMHM34AC2R,King,Kirkland,WA,98034,2024,HYUNDAI,IONIQ 6,1,3,0,45,262039263,POINT (-122.209285 47.71124),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022005
KMHC75LD6K,Clark,Vancouver,WA,98682,2019,HYUNDAI,IONIQ,2,2,29,17,200549261,POINT (-122.5146473 45.67862),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011040713
KMHC75LH7H,Clark,Vancouver,WA,98664,2017,HYUNDAI,IONIQ,1,1,124,49,157514122,POINT (-122.589388 45.6228731),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011041206
YV4BK0DP7L,King,Seattle,WA,98177,2020,VOLVO,XC60,2,2,19,36,101481516,POINT (-122.382425 47.77279),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033001600
